2d half ,15934
(ubo) ,14410
(loew) ,6569
(One to fill) ,5909
(wva) ,5549
(Two to fill) ,2954
1st half ,2867
(Sunday opening) ,2084
(m) ,2065
(Open Sun Mat) ,1656
(sc) ,1632
. ,1502
(p) ,1242
(One to All) ,1228
(orph) ,1167
(Three to fill) ,1058
(One to nil) ,824
(Others to fill) ,794
(Ubo) ,769
(Inter) ,767
(Open Sun. Mat.) ,752
(Two to All) ,605
2d Half ,597
(sun) ,508
2d halt ,505
Co ,446
(wra) ,439
(Two to nil) ,389
(inter) ,368
(craw) ,360
(One to ,354
2d balf ,347
2d hslf ,344
(abc) ,342
(Four to fill) ,339
"""",330
", ",274
(Sunday Opening) ,256
(chch) ,255
""" ",241
(mdo) ,240
2d hair ,230
(,227
(One to flll) ,214
Hippodrome ,209
(Three to All) ,208
and Acrobatic ,206
notice. ,206
B. F. Keith's ,200
Detroit ,190
(Open Sun. Mat) ,183
8 (ubo) ,182
Al Herman ,181
Palace ,181
(Two to ,174
Orphenm ,173
made at short ,173
(Others to All) ,170
Avon Comedy 4 ,170
Ed Morton ,169
I ,164
(Three to nil) ,163
(aAh) ,162
New York ,161
Great Howard ,159
(hod) ,158
Leo Beers ,156
Harry Breen ,154
Trovato ,154
Klein Bros ,152
Belle Baker ,151
Philadelphia ,151
(web) ,150
(nbo) ,149
Joe Cook ,149
Orpheum ,144
(Others to nil) ,142
Nonette ,142
Bert Melrose ,140
J C Nugent Co ,139
Wilson Bros ,139
Bob Hall ,138
cialty. All work ,138
(Norfolk split) ,137
Frank Stafford Co ,137
(scAabc) ,136
Valentine Vox ,135
and ,135
Co. ,134
Empire Comedy 4 ,133
Nellie Nichols ,132
. Ballet ,131
Stuart Barnes ,130
Direction ,128
Pantagea ,128
Seattle ,128
(1 to fill) ,127
Edwin George ,126
let half ,126
(Richmond split) ,125
", N. Y. ",124
A ,124
Chris Richards ,124
Harry Rose ,124
Lawton ,124
Lew Hawkins ,124
Marie Stoddard ,124
Mc,124
(hp) ,123
(n-n) ,122
Bison City 4 ,122
8 (p) ,121
1st halt ,120
Cleveland ,120
(Two to flll) ,119
Tom Mahoney ,119
Will Oakland Co ,118
Frank Bush ,117
Jack Kennedy Co ,116
Joe Whitehead ,116
"""Bride Shop"" ",115
(Same bill playing ,115
American Comedy 4 ,115
Danny Simmons ,115
Harry Holman Co ,115
Primrose 4 ,115
Herbert's Dogs ,114
Lillian Watson ,114
Mercedes ,114
lat half ,114
2d bait ,112
Frank Morrell ,112
Milt Collins ,112
Will Morris ,112
1st hslf ,111
Marie Russell ,111
The ,111
Murray Bennett ,110
Cycling Brunettes ,109
Walter Brower ,109
8 (m) ,108
Dancing Kennedys ,108
Pantages ,107
Will Rogers ,107
Julia Curtis ,106
Kremka Bros ,106
(wvs) ,105
Bob Albright ,105
Joe Jackson ,105
Laurie Ordway ,105
Anna Chandler ,104
Clark A Verdi ,104
Salt Lake ,104
Toronto ,104
8 ,103
Billy McDermott ,103
Bowman Bros ,103
Eva Tanguay ,103
Kaufman Bros ,103
Ray Snow ,103
The Langdons ,103
Brltt Wood ,102
Brooklyn ,102
Henry Lewis ,102
Pletro ,102
Rooney A Bent ,101
Walter C Kelly ,101
(2 to fill) ,100
(ah-wva) ,100
2d half. ,100
Mullen A Coogan ,100
Victoria 4 ,100
Arthur Rlgby ,99
Great Lester ,99
Ruth Roye ,99
(u-b-o) ,98
Nat Wills ,98
(abo) ,97
", N. J. ",97
Al Abbott ,97
Chicago ,97
Hugh Herbert Co ,97
Minnie Allen ,97
i ,97
(P) ,96
(Savannah split) ,96
(ac) ,96
